# term: φιλοστοργ- family (noun φιλοστοργία, adj φιλόστοργος, adv φιλοστόργως, verb φιλοστοργέω, privative ἀφιλόστοργος)
# discovery: philostorgia_corpus.json occurrences (sid=units.id); 368 distinct units from 411 tokens
# grounding query (live DB, 2026-07-19): SELECT u.id sid,u.eul_wid wid,u.ref,a.eul_aid,a.name_english author,a.affiliation,a.period,COALESCE(w.domain,a.domain) domain,COALESCE(w.format,a.format) format,a.fl_from,a.fl_to,w.title_english,char_length(u.text_greek) length FROM eulogikon.units u JOIN eulogikon.works w ON w.eul_wid=u.eul_wid JOIN eulogikon.authors a ON a.eul_aid=w.eul_aid WHERE u.id=ANY(ARRAY[<368 sids>]) ORDER BY a.fl_from,a.eul_aid,u.eul_wid,u.sequence_num;
# drift check vs discovery: 368/368 sids resolve; 0 wid/ref mismatches
# counts: units=368 tokens=411 stoic_units=18
# NOTE token_count = discovery token count from JSON (grc_fold path blocked in read-only MCP); attestation is the row, not the count.
unit_id	wid	ref	author	eul_aid	affiliation	period	domain	format	fl_from	fl_to	title	token_count	length	lexical_status	headwords
979376	ajg-aa	book 194.1	Greek Anthology	ajg	None	archaic	poetry	verse	-650	-650	Anthology, Volume V	1	48	proper_name	Φιλοστόργιος
744895	bhc-aa	199	Theano of Croton	bhc	pythagorean	archaic	philosophy	treatise	-530	-500	Pythagorean Teachings and Letters	2	2201	concept	φιλοστοργέω|φιλοστοργία
794093	lrw-aa	3 (100)	Zeno of Rhodes	lrw	None	hellenistic	history	prose	-523	-118	Rhodian Historical Fragments	1	2625	concept	φιλοστοργία
344155	bko-aa	1 4	Heraclitus of Ephesus II	bko	presocratic	archaic	philosophy	treatise	-504	-501	Allegories Or Homeric Questions	1	638	concept	φιλοστόργως
1924481	emo-ag	book 274(?)b.28.2	Aeschylus the Tragedian	emo	None	classical	drama	verse	-499	-456	Fragments of the Oresteia	1	100	concept	φιλοστοργία
1672066	bqs-ah	72	Antiphon of Athens	bqs	sophist	classical	oratory	oration	-480	-411	On Sedition and Political Defense	1	158	concept	φιλόστοργος
791913	cto-ab	2.427	Xenophon Scholia	cto	None	classical	grammar	prose	-450	-450	Scholia-Euripides' Hippolytus	1	375	concept	φιλοστοργία
792661	cto-ab	2.628	Xenophon Scholia	cto	None	classical	grammar	prose	-450	-450	Scholia-Euripides' Hippolytus	1	375	concept	φιλοστοργία
1680826	cto-aj	sch Ph 1078	Xenophon Scholia	cto	None	classical	grammar	prose	-450	-450	Scholia on Euripides	1	439	concept	φιλόστοργος
1681162	cto-aj	sch Hipp 627	Xenophon Scholia	cto	None	classical	grammar	prose	-450	-450	Scholia on Euripides	1	378	concept	φιλοστοργία
1681791	cto-aj	sch Andr 529	Xenophon Scholia	cto	None	classical	grammar	prose	-450	-450	Scholia on Euripides	1	235	concept	φιλοστοργία
136035	dck-aa	50	Aresas of Lucania	dck	pythagorean	classical	philosophy	treatise	-450	-450	On Human Nature	1	1089	concept	φιλοστοργία
2047647	ezq-ag	Cyr.1.3.2	Xenophon of Athens	ezq	None	classical	history	prose	-400	-355	Cyropaedia	1	886	concept	φιλόστοργος
2047665	ezq-ag	Cyr.1.4.2	Xenophon of Athens	ezq	None	classical	history	prose	-400	-355	Cyropaedia	1	963	concept	φιλοστοργία
2045970	ezq-ai	Ages.7.7	Xenophon of Athens	ezq	None	classical	history	prose	-400	-355	Agesilaus	1	970	concept	φιλόστοργος
1691399	ffk-bm	Leg.931.b	Plato of Athens	ffk	platonist	classical	philosophy	dialogue	-390	-347	Laws	1	10580	concept	φιλοστοργέω
610434	fxc-aa	8 1 (t)	Philip II King of Macedonia	fxc	None	classical	None	epistle	-359	-336	Philip's Diplomatic Letters	2	1539	concept	φιλόστοργος
753273	ljk-ar	Piet 19	Theophrastus of Eresus	ljk	peripatetic	hellenistic	philosophy	treatise	-340	-280	On Piety	1	847	concept	φιλοστοργέω
897351	hgw-av	HA 611a	Aristotle	hgw	aristotelian	classical	philosophy	treatise	-335	-323	History of Animals	1	1888	concept	φιλόστοργος
897371	hgw-av	HA 621a	Aristotle	hgw	aristotelian	classical	philosophy	treatise	-335	-323	History of Animals	1	1916	concept	φιλοστόργως
198622	hgw-bf	Phgn 809b	Aristotle	hgw	aristotelian	classical	philosophy	treatise	-335	-323	Physiognomics	1	2335	concept	φιλόστοργος
910464	hki-aa	3	Clearchus of Soli	hki	peripatetic	classical	philosophy	collection	-325	-325	On Hunting with Mirrors	1	709	concept	φιλοστοργία
910544	hki-aa	73	Clearchus of Soli	hki	peripatetic	classical	philosophy	collection	-325	-325	On Hunting with Mirrors	1	448	concept	φιλοστοργέω
1532130	hlw-aa	110	Demades of Paeania	hlw	None	classical	oratory	collection	-325	-325	In Defense of the Twelve Years	1	149	concept	φιλοστοργία
1538679	hoe-ac	3a,264,F 25 (850)	Hecataeus of Abdera	hoe	None	hellenistic	history	collection	-320	-305	On Egyptian Philosophy and Religion	1	4089	concept	φιλοστοργία
1538682	hoe-ac	3a,264,F 25 (1000)	Hecataeus of Abdera	hoe	None	hellenistic	history	collection	-320	-305	On Egyptian Philosophy and Religion	1	4185	concept	φιλοστοργία
344824	iiy-aa	2	Hermesianax of Cyprus	iiy	None	hellenistic	history	prose	-300	-250	Phrygian Histories and Myths	1	572	concept	φιλοστοργία
1249541	izc-ad	book 18.10	Theocritus of Syracuse	izc	None	hellenistic	poetry	verse	-275	-260	Idylls	1	239	concept	φιλόστοργος
1539700	jds-ab	2a,81,F 36	Phylarchus of Athens	jds	None	hellenistic	history	collection	-270	-220	Historical Fragments and Anecdotes	2	923	concept	φιλοστοργία
254884	kau-ab	1a,32,F 14 (50)	Dionysius Scytobrachion of Mytilene	kau	None	hellenistic	grammar	collection	-250	-200	Argonautic Genealogical Fragments	1	3839	concept	φιλοστοργία
874180	klo-ac	Epit 2 579	Aristophanes of Byzantium	klo	None	hellenistic	grammar	treatise	-240	-180	Epitome of the Histories of Animals	1	416	concept	φιλόστοργος
2120777	kms-ae	292	Chrysippus of Soli	kms	stoic	hellenistic	philosophy	collection	-240	-210	Moral Fragments	2	523	concept	φιλοστοργία
2121102	kms-ae	731	Chrysippus of Soli	kms	stoic	hellenistic	philosophy	collection	-240	-210	Moral Fragments	1	197	concept	φιλοστοργία
854380	knc-aa	26 1	Antigonus of Carystus	knc	None	hellenistic	biography	prose	-240	-240	Collection of Marvelous Histories	1	448	concept	φιλοστοργία
209259	kzk-ab	6	Bolus of Mendes	kzk	None	hellenistic	medicine	treatise	-200	-200	On Sympathies and Antipathies	1	188	concept	φιλόστοργος
